ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅣ
 , , , , , , , , ,삭,삯,산,삳,살,삵,색,샌,샐,샥,샨,샬,섄,섈,석,섞,섟,선,섣,설,섹,센,셀,셕,션,셜,셴,셸,식,신,싣,실
 , , , , , , , , ,싹,싻,싼,쌀,쌕,쌘,쌜,썩,썬,썰,쎈,쎌,쏀,씩,씬,씰
 , , , , , , , , ,악,안,앉,않,알,앍,액,앤,앨,약,얀,얄,얜,얠,억,언,얹,얻,얼,얽,엑,엔,엘,역,엮,연,열,옌,옐,익,인,일,읽
 , , , , , , , , ,작,잔,잖,잗,잘,잭,잰,잴,쟉,쟌,쟎,쟐,쟨,쟬,적,전,절,젝,젠,젤,젼,졀,직,진,짇,질
 , , , , , , , , ,짝,짠,짢,짤,짹,짼,쨀,쨘,쩍,쩐,쩔,찍,찐,찔
 , , , , , , , , ,착,찬,찮,찰,책,챈,챌,챤,챦,챨,척,천,철,첵,첸,첼,쳔,쳰,칙,친,칟,칠,칡
 , , , , , , , , ,칵,칸,칼,캑,캔,캘,캭,컥,컨,컫,컬,켁,켄,켈,켠,켤,킥,킨,킬
 , , , , , , , , ,탁,탄,탈,탉,택,탠,탤,턱,턴,털,텍,텐,텔,텬,톈,틱,틴,틸
 , , , , , , , , ,팍,팎,판,팔,팩,팬,팰,퍅,퍽,펀,펄,펙,펜,펠,편,펼,폘,픽,핀,필
 , , , , , , , , ,학,한,할,핵,핸,핼,헉,헌,헐,헥,헨,헬,혁,현,혈,혠,혤,힉,힌,힐
=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=
ㅗ,ㅛ,ㅜ,ㅠ,ㅡ
 , , , , , , , , ,곪,곬,곯,곰,곱,굡,굶,굻,굼,굽,금,급
 , , , , , , , , ,꼼,꼽,꿇,꿈,꿉,끎,끓,끔,끕
 , , , , , , , , ,놂,놈,놉,뇹,눔,눕,늄,늅,늚,늠,늡
 , , , , , , , , ,돎,돐,돔,돕,둠,둡,듐,듦,듬,듭
 , , , , , , , , ,뚫,뚬,뜸,뜹
 , , , , , , , , ,롬,롭,룝,룸,룹,륨,륩,름,릅
 , , , , , , , , ,몲,몸,몹,묩,묾,뭄,뭅,뮴,믐
 , , , , , , , , ,봄,봅,붊,붐,붑,븀,븜,븝
 , , , , , , , , ,뽐,뽑,뿜,쁨,쁩
 , , , , , , , , ,솖,솜,솝,숌,숍,숨,숩,슘,슴,습
 , , , , , , , , ,쏢,쏨,쏩,쑴,쑵,쓺,쓿,씀,씁
 , , , , , , , , ,옮,옰,옳,옴,옵,욤,욥,욺,움,웁,윰,윱,읊,음,읍
 , , , , , , , , ,졺,좀,좁,줆,줌,줍,쥼,즘,즙
 , , , , , , , , ,쫌,쫍,쭘,쭙,쯤
 , , , , , , , , ,촘,촙,춈,춤,춥,츔,츰,츱
 , , , , , , , , ,콤,콥,쿰,쿱,큠,큼,큽
 , , , , , , , , ,톰,톱,툼,툽,튬,틂,틈,틉
 , , , , , , , , ,폼,폽,푭,풂,품,풉,퓸,픔,픕
 , , , , , , , , ,홅,홈,홉,횹,훑,훔,흄,흠,흡
=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=
ㅘ,ㅙ,ㅚ,ㅝ,ㅞ,ㅟ,ㅢ
 , , , , , , , , ,괏,광,괬,괭,굇,굉,궜,궝,궷,귓
 , , , , , , , , ,꽜,꽝,꽹,꾕,꿨,꿩,뀄
 , , , , , , , , ,놨,뇟,눴
 , , , , , , , , ,됐,됫,뒀,뒝,뒷,뒹
 , , , , , , , , ,뜅
 , , , , , , , , ,뢍,뢨,룃,룅,뤘,륏,륑
 , , , , , , , , ,뫘,뫙,묏,묑,뭣
 , , , , , , , , ,봤,뵀,붰,뷩
 , , , , , , , , 
 , , , , , , , , ,솽,쇗,쇘,쇳,쉈,쉥,쉿,슁
 , , , , , , , , ,쐈,쐤,쒔
 , , , , , , , , ,왓,왔,왕,왯,왱,욋,욍,웠,웡,웽,윗,윙,읫
 , , , , , , , , ,좟,좡,좼,좽,죗,죙,줬,쥣
 , , , , , , , , ,쫬,쬈,쭸,쭹
 , , , , , , , , ,촹,쵯,쵱,췄,췻,췽
 , , , , , , , , ,쾅,쾡,퀑,퀭,큇,큉
 , , , , , , , , ,툇,툉,퉜,튕
 , , , , , , , , ,퐝,풩,퓟
 , , , , , , , , ,홧,황,횃,횅,횟,횡,훵,휑,휫,휭,힁
=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=
